,Name,Classification,Type,Country,Adress,Latitude,Longitude,location
0,The Book Club,Leisure Places,Nightclub,GB,100-106 Leonard St,51.524619,-0.081392,"{'type': 'Point', 'coordinates': (51.524619, -0.081392)}"
1,XOYO,Leisure Places,Nightclub,GB,32-37 Cowper St,51.52547227,-0.08573097,"{'type': 'Point', 'coordinates': (51.52547227, -0.08573097)}"
2,Fabric,Leisure Places,Nightclub,GB,77A Charterhouse St (Cowcross St),51.51957072310755,-0.10221798649715175,"{'type': 'Point', 'coordinates': (51.51957072310755, -0.10221798649715175)}"
3,The Steelyard,Leisure Places,Nightclub,GB,"Unit 13, Allhallow Street",51.51013630071321,-0.09023565826690917,"{'type': 'Point', 'coordinates': (51.51013630071321, -0.09023565826690917)}"
4,Shoreditch Grind,Leisure Places,Coffee Shop,GB,213 Old Street Roundabout,51.525937310604796,-0.08813738822937012,"{'type': 'Point', 'coordinates': (51.525937310604796, -0.08813738822937012)}"
5,Concrete,Leisure Places,Nightclub,GB,"Tea Building, 56 Shoreditch High St",51.52369956522249,-0.07699372295194501,"{'type': 'Point', 'coordinates': (51.52369956522249, -0.07699372295194501)}"
6,Village Underground,Leisure Places,Nightclub,GB,54 Holywell Ln,51.52355222406034,-0.0785581572500486,"{'type': 'Point', 'coordinates': (51.52355222406034, -0.0785581572500486)}"
7,Nomad,Leisure Places,Nightclub,GB,58 Old St (Golden Ln),51.524212947741425,-0.09557706023760006,"{'type': 'Point', 'coordinates': (51.524212947741425, -0.09557706023760006)}"
8,The Lion & Lamb,Leisure Places,Pub,GB,Fanshaw Street,51.529620755733596,-0.08145973822022311,"{'type': 'Point', 'coordinates': (51.529620755733596, -0.08145973822022311)}"
9,Cargo,Leisure Places,Nightclub,GB,83 Rivington St,51.52637664785836,-0.07892032115815498,"{'type': 'Point', 'coordinates': (51.52637664785836, -0.07892032115815498)}"
10,Barrio Shoreditch,Leisure Places,Nightclub,GB,141-143 Shoreditch High St,51.526080015427674,-0.0779265825179455,"{'type': 'Point', 'coordinates': (51.526080015427674, -0.0779265825179455)}"
11,Trapeze Bar,Leisure Places,Nightclub,GB,89 Great Eastern St,51.52588423670274,-0.08323497722128448,"{'type': 'Point', 'coordinates': (51.52588423670274, -0.08323497722128448)}"
12,The Hoxton Pony,Leisure Places,Nightclub,GB,104-108 Curtain Rd,51.52537736065559,-0.08034056071939444,"{'type': 'Point', 'coordinates': (51.52537736065559, -0.08034056071939444)}"
13,avalon,Leisure Places,Nightclub,GB,141-143 shoreditch high street,51.526071,-0.077979,"{'type': 'Point', 'coordinates': (51.526071, -0.077979)}"
